#{"t_start": 1768083746.3892963, "env_id": "LunarLander-v3"}
r,l,t
-61.97743,631,96.058375
-123.549815,901,97.326416
-46.585689,746,97.630285
153.627773,732,97.946671
37.324354,1000,99.27936
49.022546,1000,99.7048
63.389203,1000,100.975413
70.783382,1000,101.392777
90.164163,1000,102.682252
102.367928,1000,103.112846
82.341331,1000,104.510346
114.512692,1000,104.938541
-74.449865,537,105.174113
92.794652,1000,106.455106
-14.03276,422,106.631033
66.664219,1000,107.837487
85.064058,1000,108.232382
59.557516,1000,109.438511
79.132256,1000,109.861343
90.34344,1000,111.084851
79.942994,1000,111.52389
-27.327138,386,111.677878
95.613797,1000,112.999349
100.574371,1000,113.376918
-61.230287,396,113.54334
92.314354,1000,114.722163
92.75235,1000,115.094161
156.552166,1000,116.358068
89.820706,1000,116.807215
79.208379,1000,117.982968
114.807856,1000,118.433665
113.626928,1000,119.668956
87.88961,1000,120.051228
88.413772,1000,121.191569
130.467614,1000,121.568565
107.364955,1000,122.968542
70.653189,1000,123.385664
78.703821,1000,124.713366
92.631263,1000,125.101944
204.272036,648,126.379598
88.048375,1000,126.831215
147.118203,1000,128.012117
208.678205,775,128.355721
222.717874,566,128.571723
195.350903,572,128.797738
255.741958,936,129.9587
89.200024,1000,130.341201
244.519938,400,131.256109
218.834713,521,131.458902
239.599471,458,131.631876
229.35953,456,131.8229
13.514468,296,131.933422
233.405162,645,132.987903
4.217598,278,133.095249
113.943237,1000,133.487693
259.964006,346,134.410546
243.385361,440,134.578468
243.597412,417,134.777035
255.565155,340,134.911483
16.517963,298,135.027116
1.133525,230,135.123424
223.238275,386,136.024988
34.025646,258,136.122066
36.327536,305,136.243699
252.12535,332,136.381383
22.252518,239,136.471879
219.84807,359,136.61397
216.489743,431,137.575872
-23.60195,318,137.697099
234.234599,406,137.856581
233.629318,470,138.035538
258.111704,511,138.224465
6.474571,362,139.12332
232.846381,463,139.302589
231.612869,383,139.453671
212.892127,394,139.611954
225.094853,425,139.771657
233.784546,389,140.693761
238.677691,423,140.854019
236.130044,437,141.021992
252.790384,312,141.139938
227.772673,393,141.282944
255.207524,389,141.427162
15.850752,283,142.299621
235.473064,326,142.425482
250.768137,356,142.560902
229.381915,398,142.713833
