#{"t_start": 1768085813.8308547, "env_id": "LunarLander-v3"}
r,l,t
239.212514,344,218.427926
-47.596553,442,218.790786
-88.674488,629,219.355584
208.928162,441,219.738474
234.480995,332,220.003219
206.453297,401,220.319075
225.542605,374,220.610079
225.683289,349,220.890992
194.036791,492,221.290507
-56.547961,425,221.639522
217.051576,440,221.99204
232.89938,356,222.262821
192.575936,475,222.644566
228.146685,383,222.955794
199.416779,401,223.269897
-79.55519,502,223.677533
253.50969,359,223.998208
254.578773,342,224.265149
234.34098,428,224.618508
206.683087,497,224.995806
256.457685,324,225.254297
239.279098,404,225.572877
229.33715,331,225.840441
246.942647,341,226.113125
235.431994,406,226.481513
-54.977099,668,227.022213
252.311311,308,227.274246
230.605008,397,227.594823
207.447915,695,228.161211
209.220293,367,228.483314
258.034428,301,228.724318
257.394927,371,229.041021
225.754766,354,229.350772
280.287983,328,229.636886
-24.820566,335,229.926836
247.176705,381,230.229643
235.348375,431,230.59639
210.778794,393,230.922555
194.772681,380,231.223399
-39.621816,277,231.441327
246.110134,442,231.790334
265.447631,328,232.082711
267.208912,502,232.487056
217.753511,329,232.742776
245.09778,371,233.042572
253.583794,273,233.260933
203.933252,417,233.590515
238.083576,271,233.841097
215.945309,368,234.193635
251.240126,312,234.478842
191.258265,450,234.872605
248.933351,387,235.174756
209.81759,558,235.626561
-80.267506,421,235.957294
250.329404,346,236.228948
225.890414,481,236.6193
209.127485,351,236.902848
251.088194,325,237.151863
-28.881926,337,237.417846
204.533594,370,237.719892
246.275049,344,238.026937
222.046748,376,238.329816
213.428952,366,238.641565
246.820212,321,238.909759
213.846709,305,239.190002
206.782366,581,239.655077
225.620516,351,239.936611
206.097602,406,240.253904
174.657719,598,240.728929
230.495196,371,241.034754
20.998239,312,241.282986
209.526424,680,241.829746
215.079836,381,242.146989
192.429307,834,242.832036
223.236655,360,243.12939
78.414295,1000,244.029088
240.70551,345,244.357481
188.418862,526,244.876078
237.968952,337,245.155225
263.877606,378,245.509007
221.052226,567,246.009891
248.439445,354,246.332226
206.441494,545,246.802794
212.818069,321,247.078966
245.629649,332,247.368143
237.212598,538,247.801305
225.292578,404,248.119992
224.916415,416,248.464388
237.312391,372,248.778215
209.147562,310,249.040689
247.014211,316,249.290985
183.214197,513,249.704076
273.546302,353,249.992683
0.473166,277,250.209883
193.912074,468,250.595905
217.21061,313,250.848401
236.926729,403,251.2098
230.304083,358,251.528242
156.032768,665,252.071769
215.513282,348,252.358038
-60.416257,344,252.630044
-2.151307,360,252.947836
230.407194,406,253.267107
152.692232,598,253.759933
260.869449,364,254.069024
229.063185,358,254.352536
240.131357,365,254.642325
233.474752,356,254.928268
193.330867,458,255.300069
-41.22011,437,255.652608
195.876514,748,256.262086
228.588644,333,256.525453
222.649174,503,256.978502
219.136518,337,257.318267
206.066411,471,257.7767
239.995369,336,258.094441
206.171578,491,258.516184
217.279753,327,258.818317
-23.924571,313,259.108188
-0.554248,261,259.34227
257.730493,420,259.688289
205.523117,372,260.013045
256.034057,375,260.323068
248.14654,363,260.627509
181.82189,569,261.087828
256.346753,353,261.373259
2.37155,397,261.680698
243.110041,398,261.995635
-38.260024,371,262.292114
207.526903,394,262.640402
209.87459,443,262.992239
-3.493681,310,263.247673
256.005895,312,263.510278
225.927998,444,263.967263
227.634856,470,264.359655
262.987586,394,264.726421
-52.521231,519,265.153812
36.714754,297,265.390678
13.894066,297,265.634948
211.049351,329,265.903162
244.521291,382,266.226788
181.487938,871,266.972303
29.537836,330,267.238442
-18.604438,358,267.535367
173.130192,637,268.06308
189.221185,565,268.522818
221.150004,314,268.776867
222.969391,425,269.150621
178.986463,463,269.514015
-51.545351,337,269.782079
258.948303,306,270.027388
225.410014,347,270.301153
21.33758,321,270.584598
223.941545,373,270.889653
199.222256,452,271.254728
71.277244,1000,272.121942
188.234037,382,272.44679
220.115814,417,272.791741
242.386371,406,273.122702
239.2568,393,273.453166
-0.025538,370,273.771169
252.268955,335,274.11795
199.030718,469,274.557982
216.420629,552,275.036628
212.637101,439,275.421483
218.513719,477,275.865347
212.859754,387,276.254782
264.029434,347,276.583548
203.882175,815,277.274548
233.726962,362,277.59234
189.227853,484,278.076777
220.362351,375,278.410297
235.052885,340,278.683374
262.567738,325,278.951968
-25.83845,379,279.274932
195.41165,398,279.620161
216.652523,581,280.133535
183.402645,487,280.563002
236.019039,395,280.901453
228.374748,414,281.251828
201.464412,388,281.585701
236.011021,416,281.922816
175.843201,530,282.341136
233.135788,558,282.80478
207.14706,451,283.171969
-44.103197,358,283.461286
207.414082,412,283.79628
229.2246,364,284.093209
-55.634037,422,284.4343
164.771121,650,284.95259
148.737256,618,285.45429
158.855754,514,285.916408
213.418091,390,286.252963
-64.753559,500,286.67977
220.897895,424,287.024641
187.024194,445,287.40852
243.928825,334,287.695285
177.375688,548,288.233976
215.264676,444,288.59252
-41.078468,432,288.93744
210.313201,340,289.225587
216.6184,503,289.625769
204.890008,599,290.099822
199.570982,338,290.390759
215.827828,347,290.668474
229.223347,566,291.128747
193.146397,404,291.456123
-67.248656,444,291.823041
253.167794,453,292.189375
230.730404,419,292.519219
182.672349,356,292.795216
209.561164,454,293.170722
220.187084,335,293.439888
195.154279,455,293.830221
238.123864,330,294.114378
-47.557172,365,294.407331
242.680658,342,294.71627
193.8461,542,295.170733
233.672601,401,295.514925
-37.511638,335,295.809597
240.583096,438,296.175307
219.421122,336,296.463068
224.097096,370,296.757081
272.001785,407,297.079473
232.936574,546,297.54143
234.109622,404,297.945966
231.073917,396,298.326283
258.709407,316,298.593384
228.450529,419,298.93419
267.541256,463,299.35405
207.2905,355,299.666597
213.134896,426,300.047882
241.99804,378,300.344383
244.33791,370,300.640964
204.006032,436,300.991846
233.525461,307,301.228519
195.832338,670,301.812271
-35.574791,338,302.106268
186.07573,352,302.394244
227.271985,382,302.70233
-28.259571,310,302.962106
229.176811,405,303.289671
224.802848,428,303.629371
204.177038,425,303.973894
217.754292,353,304.272531
207.033984,371,304.579312
195.842493,620,305.081156
210.596528,393,305.405421
166.567195,502,305.837433
263.258934,304,306.094844
231.036027,459,306.482103
-52.823937,561,307.000039
200.902146,482,307.420451
258.727781,342,307.690295
220.587612,355,307.969164
251.289501,377,308.279051
224.075326,439,308.626113
247.174763,398,308.941401
-42.680144,304,309.180622
224.954454,732,309.787873
193.5983,468,310.166755
-24.254902,327,310.431501
250.449582,338,310.722846
236.402904,321,310.98287
234.12535,519,311.404899
227.391128,331,311.684475
194.081332,449,312.053484
202.038829,566,312.537753
238.723152,498,312.946685
226.336602,310,313.197769
222.053418,425,313.533992
234.912837,369,313.840665
200.54328,373,314.150171
209.453711,452,314.559274
202.451586,417,314.901035
208.130453,471,315.283687
219.692401,353,315.574482
227.823932,408,315.956622
245.788471,315,316.205099
-58.431455,364,316.491385
247.929724,332,316.858172
210.435094,539,317.35104
223.019389,436,317.717484
235.766461,326,317.992408
172.62355,367,318.302866
3.813055,289,318.568516
201.200454,340,318.871929
199.043791,515,319.405349
218.29124,412,319.832537
-14.517338,306,320.148318
-2.901466,328,320.455794
-78.326545,563,320.989876
-47.693753,300,321.247888
79.868922,1000,322.155748
231.5174,278,322.411412
91.870096,1000,323.272788
214.65986,406,323.60205
-30.946217,512,324.061247
236.932399,487,324.498084
243.701875,367,324.806476
227.776227,375,325.11008
177.227406,544,325.55231
-34.453459,501,325.988701
238.423671,400,326.31484
232.462767,443,326.677151
253.858511,472,327.052065
248.283028,408,327.366988
