#{"t_start": 1768084635.449265, "env_id": "LunarLander-v3"}
r,l,t
-104.634468,305,75.884693
-107.07432,212,76.015496
-150.806049,243,76.162289
22.447306,156,76.258388
-117.848522,274,77.404277
-104.767838,336,77.614471
-122.623382,265,77.777265
-67.000306,249,77.933396
-30.796399,290,78.106759
105.831077,1000,79.754971
-77.443037,284,79.939764
24.44262,202,80.062108
118.628949,1000,80.670201
-16.559965,215,80.796633
-22.729351,302,81.967111
96.381662,1000,82.589847
-63.849022,319,82.796707
173.420627,416,83.065367
-25.392,198,84.186948
62.220325,1000,84.809448
28.568218,208,84.943339
-18.189186,218,85.079911
-23.084369,386,85.326708
98.952529,1000,87.017865
-32.164823,392,87.254634
-20.920027,236,87.399011
-27.746446,1000,89.009045
-128.779893,550,89.405051
64.734414,1000,90.040387
46.182657,1000,91.69221
99.207113,1000,92.331529
99.232914,1000,93.947703
-26.737221,295,94.126992
72.445212,1000,95.75798
102.207826,1000,96.42581
40.618825,1000,98.035871
156.442783,1000,98.679005
116.214848,1000,99.335231
-63.582089,331,100.544056
-47.883062,297,100.739957
1.015214,317,100.945234
-107.416061,409,101.211062
65.680253,1000,102.865316
121.940108,1000,103.51965
138.927454,465,103.830061
121.201353,1000,105.592975
104.027934,1000,106.274434
16.585675,259,106.443389
117.795244,1000,108.106768
117.478245,656,108.530252
122.451678,1000,110.209004
107.721208,1000,110.874271
-138.16777,515,111.204484
91.747068,611,112.573451
-65.790463,168,112.676457
91.252215,1000,113.298259
106.907351,1000,114.943136
18.964927,218,115.083956
-14.072618,192,115.207391
-13.464885,210,115.343076
101.260136,1000,117.060823
-11.21663,260,117.222045
150.873486,1000,117.860171
62.957631,1000,119.480372
134.13148,1000,120.109405
122.604297,1000,121.693536
-19.221465,268,121.860183
-34.076839,212,121.982053
196.31167,330,122.185664
137.607532,1000,123.77703
128.860005,1000,124.381317
-46.505708,269,124.549082
119.637192,1000,126.185267
201.697436,421,126.464192
138.460685,1000,127.073968
120.724832,1000,128.692736
126.142086,1000,129.333577
121.659143,1000,131.007494
145.598165,1000,131.634033
-111.001072,584,133.013485
137.685816,1000,133.626737
74.391953,1000,135.269947
10.705934,220,135.413418
168.02416,514,135.730395
-10.585261,209,135.863207
121.149989,1000,137.515773
106.911259,1000,138.145203
155.145555,1000,139.787071
129.523616,1000,140.409636
118.453222,1000,141.983216
125.038884,1000,142.607568
129.403969,1000,143.225774
3.938892,251,144.368699
112.529072,1000,144.995479
2.364656,234,145.139155
-38.71693,268,145.304185
130.035271,1000,146.997156
97.050684,1000,147.618908
140.032951,1000,149.246841
195.172145,492,149.547548
164.809307,1000,151.17013
124.332307,1000,151.795934
192.257667,372,152.052344
124.777625,1000,153.772361
218.509719,349,153.995104
135.319863,1000,154.618428
11.754116,243,154.771124
129.19328,1000,156.43298
90.354803,1000,157.08604
17.760218,196,158.198354
109.099943,1000,158.819888
196.34055,351,159.039639
128.359276,1000,160.702418
203.380457,374,160.937879
106.189344,1000,161.579229
228.856243,886,163.136392
111.731841,1000,163.762441
134.56492,1000,165.495088
73.058634,1000,166.135296
118.172303,1000,167.767223
-9.775696,1000,168.386541
117.49648,1000,170.044775
115.784843,1000,170.677701
182.239029,853,172.186392
234.556671,715,172.626008
113.961545,1000,173.247366
252.788812,448,174.543294
214.328023,538,174.877015
234.160124,556,175.217474
209.364201,496,175.52397
246.993941,281,176.729523
240.585096,312,176.925009
266.723901,361,177.168677
224.989546,681,177.595162
239.336685,458,177.875313
227.013436,278,179.042646
232.104269,370,179.26414
229.575522,283,179.444289
-28.422303,409,179.695746
-15.848631,205,179.82454
216.223696,293,180.000907
233.372686,642,181.418216
21.669348,212,181.546599
-19.773697,224,181.682718
221.545657,320,181.880743
230.77567,331,182.081713
215.105527,345,182.290669
17.733006,189,182.405738
-15.443204,223,183.550604
220.538842,336,183.75956
112.232944,1000,184.390488
266.965435,230,184.533643
260.953451,617,185.929883
236.885597,306,186.120563
235.569293,310,186.310784
245.979352,293,186.487435
248.056501,287,186.665352
265.195222,344,186.879316
24.80666,201,188.04528
253.007896,413,188.299014
-21.238606,204,188.423905
250.468845,261,188.581742
-13.188273,209,188.706274
257.008375,355,188.924221
142.123076,1000,190.553836
164.061825,532,190.894501
-8.13326,224,191.031899
14.911623,171,191.135441
258.818642,362,191.357218
104.355749,1000,193.006823
273.378031,286,193.184345
245.634843,359,193.398584
255.060012,259,193.552949
242.937826,384,193.79304
252.068911,314,194.997089
244.909076,285,195.183372
207.819813,436,195.466322
15.04454,149,195.56607
245.537962,369,195.807016
257.906401,368,196.054239
-18.810829,199,196.184402
244.547356,292,197.366451
237.308281,333,197.567933
256.390014,246,197.719024
243.761676,298,197.905551
239.591122,429,198.174797
241.332737,293,198.359703
243.891067,339,199.546801
3.816037,274,199.724938
243.540659,336,199.959737
15.308707,248,200.117819
265.266945,488,200.414917
230.08715,341,200.640977
1.875949,235,201.723443
133.038022,1000,202.366471
-60.549611,194,202.48533
270.928028,362,202.716413
234.032791,324,202.913224
-48.351686,251,204.049732
183.405927,490,204.349771
77.201288,1000,204.983496
222.789485,286,205.156725
4.667016,178,206.236187
207.888799,839,206.766193
-36.3164,302,206.953386
206.499408,541,207.277706
263.882985,241,207.446888
234.21999,360,208.643469
-35.251933,197,208.763933
240.498657,349,208.973696
50.418889,156,209.070977
225.996103,360,209.28934
260.045525,422,209.543566
215.713197,428,210.836813
242.829563,272,211.012381
227.625192,286,211.205731
32.675057,141,211.295896
218.652897,585,211.660681
23.057252,185,211.774145
248.748377,531,213.098249
241.890424,314,213.2925
225.509351,412,213.560374
230.390866,367,213.781762
232.707699,287,213.963278
96.695358,1000,215.605052
229.769582,413,215.862694
266.04061,283,216.034159
25.266621,174,216.141748
228.893899,297,216.326185
-16.365882,202,216.448066
143.58422,1000,218.08303
242.435088,293,218.260091
247.870509,334,218.462046
193.768308,439,218.725591
233.25284,291,219.882353
247.123473,552,220.255005
271.043842,243,220.399108
214.8474,260,220.560119
29.271857,134,220.637022
264.325912,237,220.781053
247.458206,443,221.070843
-31.300318,182,222.241593
236.542065,435,222.520376
226.49125,383,222.746227
254.3264,290,222.920445
-13.968992,252,223.069097
8.485482,212,223.198611
225.200661,316,223.386783
238.889855,271,224.587833
164.557348,943,225.250909
243.744053,284,225.446721
11.93013,165,225.556037
262.438918,335,225.774729
241.455537,252,226.909653
175.346499,599,227.307729
246.61124,335,227.510006
197.061283,378,227.768355
264.378317,257,227.9274
229.820676,289,228.102216
30.206999,157,229.185204
91.433319,1000,229.840751
246.676147,299,230.020352
172.825577,683,231.477971
214.194829,864,232.021986
222.171685,556,232.364117
6.757082,163,232.464177
257.444395,268,232.628593
114.209464,1000,234.265839
249.708072,321,234.46201
187.457001,431,234.725363
18.144848,240,234.874061
204.040628,293,236.05389
196.273812,301,236.241416
230.530589,349,236.465172
248.595198,266,236.627415
260.825744,246,236.779168
11.147607,237,236.961188
248.531789,219,237.095201
225.829801,276,237.272812
242.56069,270,238.513234
-42.814734,192,238.62686
-0.05247,193,238.743168
247.839832,351,238.957603
252.395508,257,239.110344
-8.905414,147,239.196604
