#{"t_start": 1768085452.1975608, "env_id": "LunarLander-v3"}
r,l,t
233.366582,326,141.185105
207.275606,420,142.319562
174.823567,445,142.513735
-46.689863,251,142.61068
263.713248,671,142.880674
233.452375,350,143.019701
233.05748,362,144.102272
188.359705,593,144.343354
233.851481,280,144.477031
224.815463,275,144.580959
221.730358,324,144.706592
230.056534,311,144.81962
246.43148,265,145.843009
6.042971,256,145.944422
244.523455,312,146.087522
7.191157,296,146.201504
236.139966,306,146.318598
-9.820122,255,146.412225
213.47866,285,146.521747
244.710135,427,147.627701
229.827163,286,147.737671
269.472149,376,147.905799
207.505592,592,148.155233
246.519821,347,148.285543
227.762886,588,149.503595
209.757008,344,149.63157
-38.261078,239,149.74651
11.403473,236,149.837083
257.29667,340,149.969868
263.849034,411,150.127202
246.030078,315,151.223152
201.120324,323,151.350509
-4.745348,213,151.450136
243.728085,263,151.55146
189.022297,499,151.737164
231.186461,276,151.841195
225.919646,362,152.924862
212.52882,326,153.055505
233.221464,331,153.207413
237.433033,330,153.33725
242.680845,305,153.467097
222.475583,329,153.604989
-11.542238,233,153.696956
-25.579158,226,154.716358
226.659234,306,154.836491
-10.035089,259,154.933883
253.813354,292,155.063487
-10.250082,283,155.17427
246.716106,311,155.294568
0.184241,255,155.396224
256.291776,311,156.481894
23.726895,206,156.563551
234.547959,340,156.696277
232.689493,329,156.848882
226.59316,288,156.956256
1.074812,258,157.059777
245.082696,331,157.194839
214.361193,338,158.280544
7.407538,258,158.381061
234.030279,292,158.51442
-7.571151,257,158.613406
223.320434,314,158.737732
240.343666,309,158.853065
245.007368,323,158.971753
181.409582,536,160.182355
233.645468,314,160.302574
191.690757,467,160.506619
244.302876,327,160.641247
246.15052,309,160.758698
26.322616,200,160.833907
-41.6584,196,161.905888
85.506944,1000,162.314506
215.789856,300,162.427024
243.861287,303,162.539419
245.659173,279,162.645531
-31.880615,214,163.696061
264.172939,251,163.79349
234.23285,326,163.915544
253.33585,262,164.045828
229.482895,308,164.159906
12.866869,259,164.257538
224.770218,364,164.41625
221.998864,300,165.455587
237.525725,316,165.57699
-3.264073,266,165.675032
255.655905,367,165.835304
210.481306,680,166.114484
192.938171,512,167.290453
211.883962,286,167.401765
9.935412,269,167.507983
236.584233,357,167.669604
245.893118,280,167.775657
186.064135,312,167.896605
250.120052,314,168.965381
222.631524,312,169.089448
82.268638,1000,169.500279
252.467129,292,169.612052
300.095763,503,170.774502
264.152356,297,170.892481
202.784972,330,171.039496
264.033994,341,171.16724
239.839063,316,171.287382
-37.160007,242,171.386373
252.556597,313,171.514904
256.432939,312,172.717588
228.469857,287,172.836366
248.768795,245,172.943654
251.014758,280,173.057093
-11.173209,229,173.152592
246.682037,305,173.275047
220.185564,274,173.382703
255.034184,430,174.513722
258.733454,265,174.625331
248.914104,349,174.782416
221.960379,334,174.910094
205.839457,584,175.147236
-1.986855,193,175.221488
-15.070366,258,176.241702
230.229624,274,176.350288
238.743786,260,176.451576
224.392121,360,176.591522
258.44547,279,176.727416
267.399895,306,176.848961
253.042856,323,176.985836
14.008257,239,178.038628
21.445209,277,178.151828
175.600024,460,178.363102
250.831736,289,178.476212
219.709943,311,178.606403
255.310099,317,178.728999
253.507538,317,179.828815
255.00313,361,179.979373
263.042677,400,180.152779
-3.550074,313,180.278593
4.94253,189,180.353972
223.198985,270,180.463447
259.316142,353,180.60999
232.650542,283,181.671851
253.097866,303,181.814399
21.601832,252,181.912526
255.272244,283,182.021651
261.360996,321,182.152627
237.722531,282,182.263246
273.555701,254,182.36026
15.793182,173,182.425941
2.455185,201,183.549826
226.040946,295,183.668875
2.205995,253,183.77447
261.687024,401,183.951172
254.537756,340,184.086456
-10.948665,232,184.17982
20.132978,201,184.256052
264.52762,398,185.436976
261.26899,308,185.552158
28.023476,252,185.649241
223.063945,265,185.754357
251.027394,266,185.854585
235.018476,304,185.975054
221.326902,332,186.111185
249.607756,287,187.265783
255.444456,279,187.37173
17.526861,187,187.449561
220.771785,267,187.564028
242.483584,286,187.677501
-42.179997,170,187.741551
17.309265,200,187.82374
242.464778,290,187.933842
-41.087162,181,189.089073
239.729229,283,189.202103
247.447942,246,189.313396
264.642689,264,189.421788
13.514167,174,189.489174
240.481789,273,189.5924
257.176593,333,189.719419
-27.35764,211,189.801496
-14.905064,223,189.885875
-30.746056,223,190.980618
262.122759,282,191.113134
257.041851,268,191.220974
248.422176,308,191.344658
-20.021364,196,191.418625
260.045671,280,191.52671
247.622694,322,191.655578
18.800236,198,192.722742
252.734222,227,192.815905
257.121301,297,192.934717
46.147437,177,193.005983
219.707489,274,193.15218
247.430356,283,193.267126
6.052119,275,193.375002
-44.198462,269,193.480184
-27.930737,187,193.556142
225.134767,283,194.631238
212.48884,354,194.78971
263.705704,263,194.89238
37.668955,173,194.95758
-25.753523,168,195.021723
-8.015319,188,195.096528
235.296198,356,195.235736
247.195328,476,196.431655
20.435188,356,196.581214
256.176011,395,196.735073
11.74466,203,196.810795
245.006178,290,196.926436
