#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
-45.160602,80,26.338888
34.16102,1000,26.92776
-78.609285,101,26.990903
-39.541299,138,27.080606
-80.686637,84,27.127844
-86.559809,96,27.18507
-62.211854,152,27.270874
-121.100693,132,27.358193
-59.54345,175,27.463011
-99.331679,75,27.506781
-54.478855,103,27.566673
-105.324869,114,27.639056
-82.692109,103,27.698499
-63.274141,136,27.777904
-94.548095,114,27.84929
-81.69517,114,27.921187
-91.245582,202,28.043839
33.729549,176,28.152232
-103.893381,163,28.248179
-14.573333,74,28.29609
-81.983942,114,28.361979
-63.09497,176,28.46113
-24.317116,100,28.521501
-119.689632,98,28.579633
-78.773479,102,28.661741
-29.845755,168,28.767518
-34.019167,196,28.880717
-145.787638,158,28.98629
-72.554303,118,29.065806
-97.182893,133,29.143238
-49.085239,162,29.259506
-7.913297,196,29.382122
12.87985,204,29.510274
-39.500829,127,29.592438
-82.730982,130,29.67059
-102.490386,86,29.72422
-27.398167,180,29.827886
-63.845287,183,29.936993
-92.242902,222,30.073661
-148.700283,167,30.174814
-73.27806,117,30.242073
-70.230416,132,30.321191
-17.8882,188,30.433361
-76.364148,180,30.5465
-87.902466,80,30.591805
-15.52635,127,30.665403
-49.364316,136,30.744719
-24.544631,128,30.823451
-80.800044,130,30.901174
-110.522384,147,30.987012
-39.399274,157,31.08368
-22.072808,152,31.178033
-41.415841,139,31.258047
-82.418026,148,31.352822
-84.083926,115,31.424753
-58.747355,81,31.474558
-29.730623,115,31.543017
26.444636,1000,32.160575
-81.752827,91,32.215714
-123.305875,202,32.334008
-107.250764,72,32.376548
-66.333045,76,32.420721
-6.838056,196,32.536755
-23.076487,198,32.654283
-35.46331,104,32.714893
-57.261112,150,32.802999
-59.426528,148,32.888588
-85.121269,73,32.934875
-61.532616,159,33.028047
-54.531604,158,33.122159
17.406592,150,33.210267
-79.745259,88,33.26575
-71.109409,110,33.333189
-16.194004,129,33.408324
3.951909,159,33.518682
-77.606865,137,33.603746
-108.819591,152,33.698813
-39.94086,317,33.884065
-68.324864,175,33.985695
-23.149377,169,34.089019
9.332178,294,34.25913
-49.190302,187,34.369224
-40.784826,268,34.526034
-62.266634,167,34.627073
9.944859,123,34.706119
-83.007243,169,34.804746
-65.406057,98,34.862665
-74.623378,146,34.950459
-35.889197,119,35.023857
-70.964498,108,35.088212
-35.590649,206,35.21372
19.84215,202,35.336678
-69.923282,220,35.468413
-48.070343,158,35.566175
-32.241827,128,35.642219
-43.202279,154,35.743441
-11.921161,153,35.834713
-85.743983,372,36.054081
-36.516996,144,36.142842
-34.118153,206,36.268738
-53.728384,258,36.425952
38.728145,165,36.526301
-49.077637,287,36.697296
-22.269714,116,36.772918
-61.711429,84,36.825027
-37.587229,218,36.955182
-41.79535,83,37.007555
-23.922253,157,37.105877
-37.908894,420,37.358931
-68.773185,280,37.52712
5.758427,387,37.755863
-100.098837,149,37.855949
-41.998217,178,37.967549
-76.574205,159,38.066401
-19.940087,384,38.297759
-71.334686,150,38.393205
-130.455344,259,38.545847
40.643604,243,38.692819
-29.511856,208,38.815452
-55.773038,179,38.930843
-72.168544,213,39.056503
-108.497213,130,39.155592
-85.385408,88,39.212506
-32.201948,210,39.336373
59.600562,198,39.457046
42.79901,261,39.615547
-82.670044,208,39.736988
-83.396331,140,39.822023
-139.263819,191,39.93903
32.888261,1000,40.580431
1.734868,358,40.802206
86.528303,1000,41.421052
-32.585851,183,41.528406
-69.565326,143,41.622794
-84.547739,716,42.068686
14.437642,270,42.286436
44.886712,1000,42.929882
-110.406917,152,43.02161
-120.285737,651,43.421988
-60.339855,167,43.529591
