#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
175.609038,606,133.672263
198.364894,599,134.198958
218.956112,483,134.659178
220.016985,531,135.144834
184.53848,419,135.537043
227.915072,427,135.936313
207.540024,754,136.634158
209.82965,577,137.176208
78.286606,1000,138.074225
157.215279,596,138.625929
192.149488,705,139.246865
224.534224,343,139.560074
149.420611,853,140.22595
214.681467,492,140.624438
201.406023,605,141.118626
179.721006,591,141.637256
205.688221,563,142.162341
202.873653,559,142.610034
215.678477,450,143.001128
90.323651,1000,143.869218
245.496995,448,144.253114
226.374006,573,144.745334
233.477,845,145.468281
277.524208,476,145.858271
218.199085,579,146.317895
194.492622,674,146.867127
233.270818,509,147.303636
213.790371,624,147.818728
278.447664,336,148.109155
111.574767,749,148.801231
232.555448,420,149.175473
214.815861,515,149.608728
265.842474,543,150.053071
212.52145,529,150.483092
183.080561,447,150.8417
282.925237,422,151.197566
184.136996,457,151.633682
195.752798,648,152.241641
232.565027,425,152.660568
204.487929,442,153.046689
220.694236,424,153.452434
247.554243,436,153.837893
231.896217,506,154.277958
190.114241,723,154.889215
228.788697,417,155.226198
200.773333,542,155.651675
226.450555,595,156.171058
205.956543,447,156.565973
228.305073,663,157.165626
206.439758,421,157.537803
215.21018,550,158.038109
186.270941,524,158.47876
193.874421,532,158.993374
207.485155,445,159.388874
224.784991,482,159.857751
250.362946,364,160.181153
193.935125,629,160.724951
226.510161,442,161.141074
172.992429,774,161.837568
262.99441,538,162.329496
226.377754,353,162.65651
286.968825,344,162.958284
221.481949,519,163.484235
231.297842,529,163.970278
261.435743,383,164.308984
236.968189,509,164.802199
243.962439,407,165.207531
240.96385,363,165.579806
239.954332,502,166.060796
230.104154,352,166.439128
197.142038,593,166.98089
227.425475,459,167.377509
235.560495,462,167.753524
244.973387,570,168.274074
213.604784,499,168.720059
240.084609,482,169.161537
253.901844,411,169.543711
225.554848,618,170.104393
221.233215,449,170.505878
275.518804,543,171.012041
175.767249,585,171.581307
284.706181,290,171.848398
215.244481,858,172.623538
254.340592,390,172.973949
273.47912,323,173.266144
242.251159,374,173.603759
214.137582,524,174.027998
229.991176,804,174.692678
240.841774,368,174.986774
6.67716,255,175.19087
240.988886,462,175.609165
214.914885,442,175.967043
227.296344,425,176.318428
253.111115,396,176.636062
223.921578,395,176.981951
210.317989,829,177.653111
189.099319,607,178.147264
221.726788,393,178.475516
192.649759,518,178.896843
220.193196,482,179.28596
283.163459,385,179.60848
179.574176,530,180.052284
208.619629,376,180.360035
249.282254,397,180.675863
-21.618465,244,180.865998
247.727603,412,181.225242
250.627008,406,181.594863
274.9754,306,181.870409
243.746466,479,182.301429
220.885301,561,182.780513
100.611477,1000,183.632228
282.884708,337,183.931143
227.235265,556,184.381516
168.225821,623,184.87949
253.696857,811,185.576972
275.999133,372,185.875284
164.291988,730,186.482867
